metric,model,field_id,period,value
pr,specter2,17,2020,38.366008513835936
pr,specter2,18,2000,49.70535975161564
pr,specter2,18,2005,49.82583731575265
pr,specter2,18,2010,49.40884207438812
pr,specter2,18,2015,45.48971155785898
pr,specter2,18,2020,43.72095627967329
pr,specter2,19,2000,52.257242708333635
pr,specter2,19,2005,49.81067098677038
pr,specter2,19,2010,48.767155373438676
pr,specter2,19,2015,46.88540470754351
pr,specter2,19,2020,46.40911210446609
pr,specter2,20,2000,50.65700503565136
pr,specter2,20,2005,49.78632668871853
pr,specter2,20,2010,49.79196196635027
pr,specter2,20,2015,51.55413003925328
pr,specter2,20,2020,50.937225402927034
pr,specter2,21,2000,37.06408391768742
pr,specter2,21,2005,32.573337499479855
pr,specter2,21,2010,29.609261599432713
pr,specter2,21,2015,26.25515282932008
pr,specter2,21,2020,24.661304839614782
pr,specter2,22,2000,54.8869702175897
pr,specter2,22,2005,51.8670657196829
pr,specter2,22,2010,51.85848161390174
pr,specter2,22,2015,49.81245974386513
pr,specter2,22,2020,47.485457842124156
pr,specter2,23,2000,51.9826782278453
pr,specter2,23,2005,51.2599332357381
pr,specter2,23,2010,50.48172844322061
pr,specter2,23,2015,48.63541823592192
pr,specter2,23,2020,46.720112642130886
pr,specter2,24,2000,56.46625472607563
pr,specter2,24,2005,52.52387274410378
pr,specter2,24,2010,49.60344086591047
pr,specter2,24,2015,47.01826435047258
pr,specter2,24,2020,46.948447098062346
pr,specter2,25,2000,59.736331058898855
pr,specter2,25,2005,54.95050191966807
pr,specter2,25,2010,49.34767618707802
pr,specter2,25,2015,47.76999560549106
pr,specter2,25,2020,45.31208510825629
pr,specter2,26,2000,40.360747574208894
pr,specter2,26,2005,36.73266736450609
pr,specter2,26,2010,34.73798574308908
pr,specter2,26,2015,32.75585018856227
pr,specter2,26,2020,31.339036152791362
pr,specter2,27,2000,65.10171748945756
pr,specter2,27,2005,62.569934950047674
pr,specter2,27,2010,59.43410575800884
pr,specter2,27,2015,55.92035716333698
pr,specter2,27,2020,54.355153941781175
pr,specter2,28,2000,50.73789801190028
pr,specter2,28,2005,49.70999706236592
pr,specter2,28,2010,44.87117176217573
pr,specter2,28,2015,44.626307619156904
pr,specter2,28,2020,43.67081171614099
pr,specter2,29,2000,49.250065812636194
pr,specter2,29,2005,48.013539202745854
pr,specter2,29,2010,45.04805022391439
pr,specter2,29,2015,43.368997300775185
pr,specter2,29,2020,40.77563429307854
pr,specter2,30,2000,56.14175130184009
pr,specter2,30,2005,52.75092916653865
pr,specter2,30,2010,48.108914307027376
pr,specter2,30,2015,45.996721388637994
pr,specter2,30,2020,43.92513668059621
pr,specter2,31,2000,43.19923256415829
pr,specter2,31,2005,40.41185363689602
pr,specter2,31,2010,39.25468497606551
pr,specter2,31,2015,38.57455585020993
pr,specter2,31,2020,35.11491108867157
pr,specter2,32,2000,53.37305432971402
pr,specter2,32,2005,51.67072912113532
pr,specter2,32,2010,48.12342969327385
pr,specter2,32,2015,49.164822495264445
pr,specter2,32,2020,46.12147293198296
pr,specter2,33,2000,54.178513194246335
pr,specter2,33,2005,53.523554078174556
pr,specter2,33,2010,54.20896625228879
pr,specter2,33,2015,53.23664393596462
pr,specter2,33,2020,51.35926579803042
pr,specter2,34,2000,48.155578610690455
pr,specter2,34,2005,46.16301767452609
pr,specter2,34,2010,43.449451996505374
pr,specter2,34,2015,41.214134055907884
pr,specter2,34,2020,41.09542751080222
pr,specter2,35,2000,54.89401284801713
pr,specter2,35,2005,48.851619541528336
pr,specter2,35,2010,48.46309251923154
pr,specter2,35,2015,46.71901456260042
pr,specter2,35,2020,41.78817341874877
pr,specter2,36,2000,57.06312078722243
pr,specter2,36,2005,55.84826063933864
pr,specter2,36,2010,53.907174590908234
pr,specter2,36,2015,51.64849722241958
pr,specter2,36,2020,49.44671353813546
pr,scincl,11,2000,30.501211101805893
pr,scincl,11,2005,29.636312913205376
pr,scincl,11,2010,28.699708072259533
pr,scincl,11,2015,27.06638366624338
pr,scincl,11,2020,29.704432192858377
pr,scincl,12,2000,30.13708952066322
pr,scincl,12,2005,30.480586340434137
pr,scincl,12,2010,28.145707190655827
pr,scincl,12,2015,29.431551220256303
pr,scincl,12,2020,26.610369086289857
pr,scincl,13,2000,40.82946968787163
pr,scincl,13,2005,42.299657055238626
pr,scincl,13,2010,42.57408800153368
pr,scincl,13,2015,40.8119441273238
pr,scincl,13,2020,37.96414644427873
pr,scincl,14,2000,35.35409105912327
pr,scincl,14,2005,36.88147877908952
pr,scincl,14,2010,34.86865239981103
pr,scincl,14,2015,34.55783748671332
pr,scincl,14,2020,33.50712206364365
pr,scincl,15,2000,20.125933350955833
pr,scincl,15,2005,21.50452369232983
pr,scincl,15,2010,19.80007139465635
pr,scincl,15,2015,18.343814494972943
pr,scincl,15,2020,21.872326096055613
pr,scincl,16,2000,34.820299111433705
pr,scincl,16,2005,34.18516863776454
pr,scincl,16,2010,33.86687619314045
pr,scincl,16,2015,29.854690751545725
pr,scincl,16,2020,29.064134357814655
pr,scincl,17,2000,37.09753172269454
pr,scincl,17,2005,38.08669577928771
pr,scincl,17,2010,39.61127461725193
pr,scincl,17,2015,37.12500055565191
pr,scincl,17,2020,36.02047116093683
pr,scincl,18,2000,34.43535170757523
pr,scincl,18,2005,37.17476777022339
pr,scincl,18,2010,34.98742754545071
pr,scincl,18,2015,35.34486739778957
pr,scincl,18,2020,32.27174729497422
pr,scincl,19,2000,24.72199889829688
pr,scincl,19,2005,24.380494952912063
pr,scincl,19,2010,23.762319883724718
pr,scincl,19,2015,23.744095799822183
pr,scincl,19,2020,24.444847551019272
pr,scincl,20,2000,32.09803377905748
pr,scincl,20,2005,30.09383423578392
pr,scincl,20,2010,31.20053209481731
pr,scincl,20,2015,32.63589607143277
pr,scincl,20,2020,33.69633934751685
pr,scincl,21,2000,20.302749611493223
pr,scincl,21,2005,18.792981151410842
pr,scincl,21,2010,16.979948207702893
pr,scincl,21,2015,16.30399228141266
pr,scincl,21,2020,16.51708995576694
pr,scincl,22,2000,36.29054468539333
pr,scincl,22,2005,36.843945527770686
pr,scincl,22,2010,36.404116234191605
pr,scincl,22,2015,35.37243779594831
pr,scincl,22,2020,34.7184995702008
pr,scincl,23,2000,30.668070562809888
pr,scincl,23,2005,29.06801520917164
pr,scincl,23,2010,30.691593190907376
pr,scincl,23,2015,28.963655764680716
pr,scincl,23,2020,30.255712026611057
pr,scincl,24,2000,32.85284653895039
pr,scincl,24,2005,34.45222325660098
pr,scincl,24,2010,33.46356084755981
pr,scincl,24,2015,34.047845079387734
pr,scincl,24,2020,34.48750339384934
pr,scincl,25,2000,31.733159298719887
pr,scincl,25,2005,30.68256076789717
pr,scincl,25,2010,28.78965276003866
pr,scincl,25,2015,28.637074335577182
pr,scincl,25,2020,26.94995281186337
pr,scincl,26,2000,27.189685199150848
pr,scincl,26,2005,25.423887120998273
pr,scincl,26,2010,25.518040126230655
pr,scincl,26,2015,22.787644785717227
pr,scincl,26,2020,20.423305453127004
pr,scincl,27,2000,42.533955463475
pr,scincl,27,2005,43.737105248464886
pr,scincl,27,2010,43.20386913212658
pr,scincl,27,2015,41.61268022724064
pr,scincl,27,2020,41.97734730511673
pr,scincl,28,2000,31.71298976856513
pr,scincl,28,2005,32.39598691839055
pr,scincl,28,2010,31.420287810236424
pr,scincl,28,2015,32.62614992638694
pr,scincl,28,2020,32.658932715769716
pr,scincl,29,2000,28.18467840092381
pr,scincl,29,2005,27.50660051564789
pr,scincl,29,2010,27.2282546509689
pr,scincl,29,2015,27.068480307672147
pr,scincl,29,2020,25.931309394432677
pr,scincl,30,2000,31.35203855831685
pr,scincl,30,2005,29.95563229928529
pr,scincl,30,2010,25.66936464089264
pr,scincl,30,2015,25.466479155696895
pr,scincl,30,2020,25.75368498153662
pr,scincl,31,2000,30.874991315469682
pr,scincl,31,2005,32.409419245392804
pr,scincl,31,2010,32.449330222799105
pr,scincl,31,2015,31.068651582719546
pr,scincl,31,2020,32.85394540220499
pr,scincl,32,2000,33.73959391799567
pr,scincl,32,2005,32.658180713849205
pr,scincl,32,2010,33.46199617138931
pr,scincl,32,2015,34.26368088968231
pr,scincl,32,2020,35.0188606058409
pr,scincl,33,2000,31.987849385845905
pr,scincl,33,2005,33.05669958715731
pr,scincl,33,2010,32.86941029921883
pr,scincl,33,2015,31.005142659242495
pr,scincl,33,2020,32.159029151353586
pr,scincl,34,2000,29.522939775435336
pr,scincl,34,2005,30.63610720606269
pr,scincl,34,2010,28.784684397850217
pr,scincl,34,2015,29.367244528608186
pr,scincl,34,2020,30.551703491975555
pr,scincl,35,2000,25.92603553861497
pr,scincl,35,2005,24.20210915643894
pr,scincl,35,2010,24.616098138016064
pr,scincl,35,2015,25.874275709331673
pr,scincl,35,2020,25.01676318958865
pr,scincl,36,2000,37.632370889459565
pr,scincl,36,2005,40.009610756930684
pr,scincl,36,2010,38.074445291491905
pr,scincl,36,2015,36.30387556868598
pr,scincl,36,2020,36.4877341181907
pr,scibert,11,2000,39.30771800707243
pr,scibert,11,2005,35.493687493670514
pr,scibert,11,2010,34.678383468469434
pr,scibert,11,2015,34.095776582330984
pr,scibert,11,2020,37.47258437525617
pr,scibert,12,2000,32.52814739874791
pr,scibert,12,2005,31.966729535241104
pr,scibert,12,2010,33.73943736713137
pr,scibert,12,2015,36.808872965786705
pr,scibert,12,2020,30.825403549319986
pr,scibert,13,2000,39.257132378290635
pr,scibert,13,2005,39.6456993975874
pr,scibert,13,2010,37.29726777362125
pr,scibert,13,2015,38.730725170344314
pr,scibert,13,2020,36.99789452794831
pr,scibert,14,2000,32.254734670226334
pr,scibert,14,2005,27.81443646094375
pr,scibert,14,2010,33.10219813760746
pr,scibert,14,2015,37.00196972249003
pr,scibert,14,2020,34.4294320559591
pr,scibert,15,2000,32.17104597633833
pr,scibert,15,2005,32.56916460358559
pr,scibert,15,2010,30.783728720571528
pr,scibert,15,2015,32.600221889462404
pr,scibert,15,2020,30.706780073501083
pr,scibert,16,2000,25.372512450777798
pr,scibert,16,2005,23.933010089117982
pr,scibert,16,2010,25.02968369754016
