field_id,field_name,metric,panel,model,rank_1_is_smallest,selection
35,Dentistry,center_angle_p50,title,mpnet,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,center_angle_p50,title,minilm,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,center_angle_p50,title,pubmedbert,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,center_angle_p50,title,biobert,2.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,center_angle_p50,title,simcse,3.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p50,abstract,specter,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p50,abstract,specter2,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p50,abstract,scincl,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p50,abstract,scibert,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p50,abstract,bert,2.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p50,abstract,mpnet,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p50,abstract,minilm,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p50,abstract,pubmedbert,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p50,abstract,biobert,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p50,abstract,simcse,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,abstract,specter,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,abstract,specter2,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,abstract,scincl,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,abstract,scibert,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,abstract,bert,2.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,abstract,mpnet,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,abstract,minilm,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,abstract,pubmedbert,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,abstract,biobert,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,abstract,simcse,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p90,abstract,specter,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p90,abstract,specter2,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p90,abstract,scincl,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p90,abstract,scibert,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p90,abstract,bert,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p90,abstract,mpnet,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p90,abstract,minilm,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p90,abstract,pubmedbert,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p90,abstract,biobert,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p90,abstract,simcse,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,center_angle_p50,abstract,specter,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,center_angle_p50,abstract,specter2,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,center_angle_p50,abstract,scincl,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,center_angle_p50,abstract,scibert,2.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,center_angle_p50,abstract,bert,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,center_angle_p50,abstract,mpnet,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,center_angle_p50,abstract,minilm,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,center_angle_p50,abstract,pubmedbert,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,center_angle_p50,abstract,biobert,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,center_angle_p50,abstract,simcse,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p50,pool_cls,specter,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p50,pool_cls,specter2,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p50,pool_cls,scincl,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p50,pool_cls,scibert,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p50,pool_cls,bert,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p50,pool_cls,mpnet,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p50,pool_cls,minilm,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p50,pool_cls,pubmedbert,8.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p50,pool_cls,biobert,7.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p50,pool_cls,simcse,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,pool_cls,specter,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,pool_cls,specter2,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,pool_cls,scincl,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,pool_cls,scibert,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,pool_cls,bert,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,pool_cls,mpnet,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,pool_cls,minilm,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
