model,field_id,small_n,large_n,small_gap25,large_gap25,large_gap50,relative_change_fixed_k,relative_change_approximately_fixed_fraction,small_neighbor_fraction,large_neighbor_fraction
specter2,26,500,1000,0.1627957464404939,0.058174932576381705,0.08436302788656329,-0.6426507826625177,-0.48178604336323877,0.050100200400801605,0.05005005005005005
specter2,26,1000,2000,0.058174932576381705,0.04348081538009078,0.05865503244125228,-0.2525850318261745,0.008252693103515348,0.025025025025025027,0.02501250625312656
specter2,26,2000,4000,0.04348081538009078,0.03296275967154636,0.043929273050024316,-0.24190106870352018,0.010313920427050701,0.01250625312656328,0.012503125781445362
specter2,27,500,1000,0.31374076976282234,0.2534129804362372,0.3354207730484099,-0.19228546348053818,0.06910164497262158,0.050100200400801605,0.05005005005005005
specter2,27,1000,2000,0.2534129804362372,0.19425005991397412,0.25913306561570576,-0.233464443772443,0.02257218698750833,0.025025025025025027,0.02501250625312656
specter2,27,2000,4000,0.19425005991397412,0.15227508245177693,0.1995613012675978,-0.21608733341336572,0.027342289397366593,0.01250625312656328,0.012503125781445362
specter2,28,500,1000,0.1653500095770185,0.11204677785956707,0.15432913589040967,-0.3223660636839775,-0.06665178741024154,0.050100200400801605,0.05005005005005005
specter2,28,1000,2000,0.11204677785956707,0.08284929925537232,0.11068421065229972,-0.2605829383223244,-0.012160699605080245,0.025025025025025027,0.02501250625312656
specter2,28,2000,4000,0.08284929925537232,0.06460336408776349,0.08529734205156873,-0.22023041029433554,0.029548141241975197,0.01250625312656328,0.012503125781445362
specter2,29,500,1000,0.1733301750484444,0.039308116902899704,0.16405124189460427,-0.7732182703218675,-0.05353328207997677,0.050100200400801605,0.05005005005005005
specter2,29,1000,2000,0.039308116902899704,0.07266691340494714,0.04409141199578474,0.8486490610692828,0.12168721042274562,0.025025025025025027,0.02501250625312656
specter2,29,2000,4000,0.07266691340494714,0.027353047047546014,0.03605941540142014,-0.6235831994801113,-0.5037711977599255,0.01250625312656328,0.012503125781445362
specter2,30,500,1000,0.1142762256837982,0.0774948527731015,0.1458522648628996,-0.3218637357911223,0.27631328380123577,0.050100200400801605,0.05005005005005005
