metric,model,field_id,n,value,reference,relative_to_2000
angle_p50,specter2,35,500,32.60161307524733,32.39208607343925,1.0064684627391096
angle_p50,specter2,35,1000,32.37217715384665,32.39208607343925,0.9993853770471137
angle_p50,specter2,35,2000,32.39208607343925,32.39208607343925,1.0
angle_p50,specter2,35,4000,32.415379139569815,32.39208607343925,1.000719097438731
angle_p50,specter2,36,500,34.57167225578652,34.39690342388196,1.0050809466698452
angle_p50,specter2,36,1000,34.49664486534032,34.39690342388196,1.0028997215310118
angle_p50,specter2,36,2000,34.39690342388196,34.39690342388196,1.0
angle_p50,specter2,36,4000,34.415070126029356,34.39690342388196,1.0005281493488971
angle_p50,scincl,11,500,40.81530239606336,40.747379689064616,1.0016669220822798
angle_p50,scincl,11,1000,40.69526740032569,40.747379689064616,0.9987210885917921
angle_p50,scincl,11,2000,40.747379689064616,40.747379689064616,1.0
angle_p50,scincl,11,4000,40.741701691251976,40.747379689064616,0.9998606536701018
angle_p50,scincl,12,500,39.44288985173228,39.68629390212072,0.9938667981699488
angle_p50,scincl,12,1000,39.4647566211312,39.68629390212072,0.9944177886316142
angle_p50,scincl,12,2000,39.68629390212072,39.68629390212072,1.0
angle_p50,scincl,12,4000,39.70598215715965,39.68629390212072,1.000496097093054
angle_p50,scincl,13,500,43.685074746148395,43.54271297782188,1.0032694740081773
angle_p50,scincl,13,1000,43.6171651749204,43.54271297782188,1.0017098658307406
angle_p50,scincl,13,2000,43.54271297782188,43.54271297782188,1.0
angle_p50,scincl,13,4000,43.5046538246786,43.54271297782188,0.9991259351900589
angle_p50,scincl,14,500,42.289877737294766,42.20968712268509,1.0018998154233316
angle_p50,scincl,14,1000,42.28177868650043,42.20968712268509,1.001707938834178
angle_p50,scincl,14,2000,42.20968712268509,42.20968712268509,1.0
angle_p50,scincl,14,4000,42.079761882546094,42.20968712268509,0.9969219094242192
angle_p50,scincl,15,500,39.96507212190738,39.798002112300445,1.0041979496642948
angle_p50,scincl,15,1000,39.79734893314631,39.798002112300445,0.9999835876395933
angle_p50,scincl,15,2000,39.798002112300445,39.798002112300445,1.0
angle_p50,scincl,15,4000,39.74926482955245,39.798002112300445,0.9987753836835711
angle_p50,scincl,16,500,38.03252225155713,37.56614990831018,1.0124146963259544
angle_p50,scincl,16,1000,37.930386839158004,37.56614990831018,1.0096958813116819
angle_p50,scincl,16,2000,37.56614990831018,37.56614990831018,1.0
angle_p50,scincl,16,4000,37.41386452195568,37.56614990831018,0.9959462072443891
angle_p50,scincl,17,500,49.08636853927403,49.17150412710548,0.9982685990729228
angle_p50,scincl,17,1000,49.21604530603165,49.17150412710548,1.000905833159202
angle_p50,scincl,17,2000,49.17150412710548,49.17150412710548,1.0
angle_p50,scincl,17,4000,49.162462133531015,49.17150412710548,0.9998161131383922
angle_p50,scincl,18,500,45.550713314136125,45.297264337070445,1.0055952380518984
angle_p50,scincl,18,1000,45.36864722766097,45.297264337070445,1.001575876416274
angle_p50,scincl,18,2000,45.297264337070445,45.297264337070445,1.0
angle_p50,scincl,18,4000,45.43086882857872,45.297264337070445,1.0029495046436818
angle_p50,scincl,19,500,39.82045803335668,40.04006257472259,0.994515379666151
angle_p50,scincl,19,1000,39.84389515543291,40.04006257472259,0.9951007214605724
angle_p50,scincl,19,2000,40.04006257472259,40.04006257472259,1.0
