metric,kind,model,repeat,field_rank_spearman
gap_25,external,specter,3,0.9282051282051282
gap_25,external,specter,4,0.9856410256410256
gap_25,half,specter2,0,0.9644444444444444
gap_25,half,specter2,1,0.9658119658119657
gap_25,half,specter2,2,0.9323076923076923
gap_25,half,specter2,3,0.9425641025641024
gap_25,half,specter2,4,0.9678632478632478
gap_25,half,specter2,5,0.9767521367521367
gap_25,half,specter2,6,0.9617094017094016
gap_25,half,specter2,7,0.9685470085470086
gap_25,half,specter2,8,0.9644444444444444
gap_25,half,specter2,9,0.9514529914529914
gap_25,half,specter2,10,0.9582905982905983
gap_25,half,specter2,11,0.9507692307692307
gap_25,half,specter2,12,0.9439316239316239
gap_25,half,specter2,13,0.9719658119658119
gap_25,half,specter2,14,0.9705982905982906
gap_25,half,specter2,15,0.9569230769230769
gap_25,half,specter2,16,0.9555555555555554
gap_25,half,specter2,17,0.9596581196581195
gap_25,half,specter2,18,0.9699145299145299
gap_25,half,specter2,19,0.9596581196581195
gap_25,external,specter2,0,0.9494017094017093
gap_25,external,specter2,1,0.9610256410256409
gap_25,external,specter2,2,0.9699145299145299
gap_25,external,specter2,3,0.922051282051282
gap_25,external,specter2,4,0.9535042735042735
gap_25,half,scincl,0,0.967179487179487
gap_25,half,scincl,1,0.976068376068376
gap_25,half,scincl,2,0.9480341880341879
gap_25,half,scincl,3,0.9678632478632478
gap_25,half,scincl,4,0.9747008547008547
gap_25,half,scincl,5,0.9541880341880341
gap_25,half,scincl,6,0.9309401709401708
gap_25,half,scincl,7,0.9685470085470086
gap_25,half,scincl,8,0.9705982905982906
gap_25,half,scincl,9,0.9644444444444444
gap_25,half,scincl,10,0.9719658119658119
gap_25,half,scincl,11,0.9678632478632478
gap_25,half,scincl,12,0.9733333333333332
gap_25,half,scincl,13,0.9747008547008547
gap_25,half,scincl,14,0.9712820512820511
gap_25,half,scincl,15,0.974017094017094
gap_25,half,scincl,16,0.9808547008547008
gap_25,half,scincl,17,0.9801709401709401
gap_25,half,scincl,18,0.9658119658119657
gap_25,half,scincl,19,0.9637606837606837
gap_25,external,scincl,0,0.9596581196581195
gap_25,external,scincl,1,0.9685470085470086
gap_25,external,scincl,2,0.9753846153846153
gap_25,external,scincl,3,0.9747008547008547
gap_25,external,scincl,4,0.9794871794871794
gap_25,half,scibert,0,0.8899145299145298
gap_25,half,scibert,1,0.9494017094017093
gap_25,half,scibert,2,0.8618803418803418
gap_25,half,scibert,3,0.9234188034188033
gap_25,half,scibert,4,0.8543589743589743
gap_25,half,scibert,5,0.9753846153846153
gap_25,half,scibert,6,0.8776068376068377
gap_25,half,scibert,7,0.8652991452991453
gap_25,half,scibert,8,0.8488888888888889
gap_25,half,scibert,9,0.9617094017094016
gap_25,half,scibert,10,0.9268376068376067
gap_25,half,scibert,11,0.9015384615384615
gap_25,half,scibert,12,0.8058119658119658
gap_25,half,scibert,13,0.8694017094017094
gap_25,half,scibert,14,0.8933333333333332
gap_25,half,scibert,15,0.8639316239316238
gap_25,half,scibert,16,0.8584615384615384
gap_25,half,scibert,17,0.8372649572649572
gap_25,half,scibert,18,0.9022222222222221
gap_25,half,scibert,19,0.9569230769230769
gap_25,external,scibert,0,0.8858119658119656
gap_25,external,scibert,1,0.8543589743589743
gap_25,external,scibert,2,0.881025641025641
gap_25,external,scibert,3,0.8673504273504273
