recipe,k,field_id,model,n,mean,median,p025,p975,min,max,positive_fraction,negative_fraction
cls,25,13,biobert,50,0.07395786666666665,0.07401777777777785,0.06748155555555548,0.08206288888888894,0.06588000000000005,0.08372000000000002,1.0,0.0
cls,25,13,simcse,50,0.02125715555555558,0.02038666666666672,0.015610777777777904,0.028561999999999952,0.01496888888888881,0.029617777777777854,1.0,0.0
sep,25,13,specter,50,-0.13026,-0.13031111111111116,-0.13997099999999985,-0.12273533333333324,-0.14122222222222225,-0.12260888888888877,0.0,1.0
sep,25,13,specter2,50,-0.15730595555555554,-0.1572933333333334,-0.1654316666666666,-0.14906433333333338,-0.1656711111111111,-0.14626666666666666,0.0,1.0
sep,25,13,scincl,50,-0.16346737777777778,-0.16352444444444436,-0.17149177777777777,-0.15263022222222222,-0.17296,-0.14999111111111119,0.0,1.0
sep,25,13,scibert,50,0.06453733333333334,0.06531555555555546,0.0576871111111111,0.07135000000000007,0.05757777777777773,0.07255111111111112,1.0,0.0
sep,25,13,bert,50,0.06803235555555556,0.06737555555555558,0.06139611111111111,0.07605599999999998,0.05954666666666664,0.07802222222222244,1.0,0.0
sep,25,13,mpnet,50,-0.1433997333333333,-0.14337555555555553,-0.15334322222222227,-0.13174166666666667,-0.1535644444444445,-0.1272755555555556,0.0,1.0
sep,25,13,minilm,50,-0.09783697777777778,-0.09738444444444438,-0.10800200000000001,-0.09026233333333336,-0.10921777777777775,-0.08483111111111119,0.0,1.0
sep,25,13,pubmedbert,50,0.03840826666666666,0.03847777777777778,0.031015333333333412,0.044527000000000046,0.030728888888888806,0.054048888888888924,1.0,0.0
sep,25,13,biobert,50,0.00943279999999999,0.010260000000000047,-0.00047133333333335413,0.015870666666666613,-0.0025644444444444803,0.016164444444444426,0.94,0.06
sep,25,13,simcse,50,0.04341448888888887,0.043044444444444496,0.037293111111111,0.051182111111110984,0.037084444444444475,0.05187111111111098,1.0,0.0
mean,10,14,specter,50,-0.06043577777777779,-0.06000555555555548,-0.07355222222222231,-0.05060416666666672,-0.07424444444444445,-0.04648888888888891,0.0,1.0
mean,10,14,specter2,50,-0.09219444444444441,-0.09338333333333321,-0.10369305555555548,-0.07901361111111108,-0.10977777777777775,-0.07413333333333338,0.0,1.0
mean,10,14,scincl,50,-0.08193222222222224,-0.08133888888888896,-0.09356249999999994,-0.0676416666666666,-0.09897777777777772,-0.06432222222222228,0.0,1.0
mean,10,14,scibert,50,0.15293644444444446,0.1524666666666667,0.14379333333333327,0.16285250000000004,0.14282222222222218,0.16527777777777786,1.0,0.0
mean,10,14,bert,50,0.13150711111111113,0.13124444444444444,0.12440583333333334,0.14079583333333334,0.11829999999999996,0.1420111111111111,1.0,0.0
mean,10,14,mpnet,50,-0.14014622222222223,-0.14067222222222214,-0.15150555555555553,-0.12688694444444443,-0.15402222222222217,-0.12631111111111115,0.0,1.0
mean,10,14,minilm,50,-0.0802491111111111,-0.07944444444444437,-0.09511194444444449,-0.06976666666666666,-0.09699999999999998,-0.0660666666666666,0.0,1.0
mean,10,14,pubmedbert,50,0.14896600000000002,0.1495111111111112,0.13996666666666663,0.15618861111111115,0.13951111111111103,0.16178888888888887,1.0,0.0
mean,10,14,biobert,50,0.1463368888888889,0.1461055555555556,0.13897500000000004,0.1575541666666667,0.1386777777777778,0.16041111111111117,1.0,0.0
mean,10,14,simcse,50,0.08892977777777776,0.08879999999999999,0.08050638888888882,0.09837277777777774,0.07992222222222223,0.10025555555555554,1.0,0.0
