design,grouping,model_a,model_b,n,mean,median,p025,p975,min,max
size128_subfield183,observed,minilm,simcse,50,0.8950520832320873,0.895079464846358,0.892621226965975,0.8969134032784177,0.8918090527404983,0.8975104449233052
size128_subfield183,observed,pubmedbert,biobert,50,0.9842037290347239,0.9841248324274723,0.9834927055621547,0.985039560932923,0.9833442092181601,0.9850670643820019
size128_subfield183,observed,pubmedbert,simcse,50,0.9453268023785623,0.9452964563587303,0.9427557282351591,0.9476060830369875,0.9415566686486476,0.9476610734635569
size128_subfield183,observed,biobert,simcse,50,0.9503468926599603,0.9504244180820826,0.9482683489217104,0.9520023059708109,0.9481786750155454,0.9521128723218617
size128_subfield183,random,specter,specter2,50,0.7134917921893384,0.7150179426248262,0.6919883371687561,0.7350584197717257,0.6796131504445732,0.7452747753812232
size128_subfield183,random,specter,scincl,50,0.7685223693090657,0.7701131066543045,0.7503776418768335,0.7913326040250567,0.7495068743853269,0.7916396933835366
size128_subfield183,random,specter,scibert,50,0.5516501285919947,0.5526605202072068,0.5137790222602908,0.5861270392397899,0.503769738299332,0.5937965664035159
size128_subfield183,random,specter,bert,50,0.6036953227793216,0.6004620728157244,0.5712128768006326,0.6508366495071866,0.5699409935534699,0.6551347135690034
size128_subfield183,random,specter,mpnet,50,0.6927116953959207,0.69172988435852,0.6707467269641306,0.7205990409580237,0.6686353724780153,0.7256154804748408
size128_subfield183,random,specter,minilm,50,0.6295795831851012,0.6327840410017759,0.5975888675153269,0.6569884170105699,0.5904290523974832,0.6636185253494385
size128_subfield183,random,specter,pubmedbert,50,0.5306346221127869,0.5300774980792899,0.4987234099257633,0.5636187818590425,0.49707540930737276,0.5710630145674753
size128_subfield183,random,specter,biobert,50,0.5649139221543001,0.5643336688001948,0.5380203154942215,0.6040890297360095,0.5370355573712228,0.6109503888179982
size128_subfield183,random,specter,simcse,50,0.5709229916207688,0.5708440159894139,0.5324007223192759,0.6149726740492282,0.5224567610104196,0.6201586281483275
size128_subfield183,random,specter2,scincl,50,0.7923362392029709,0.7920135288030585,0.7736255263163286,0.8099060979067388,0.7725321781761638,0.8117832715113622
size128_subfield183,random,specter2,scibert,50,0.5567109218359452,0.5557355824339711,0.5149073574007307,0.5918111558779396,0.5080725342583167,0.5938217442946896
