recipe,k,field_id,n,mean,median,p025,p975,min,max,positive_fraction
mean,10,23,50,0.030159000000000012,0.03008833333333344,0.025223055555555585,0.03541802777777772,0.020917777777777813,0.03654999999999997,1.0
mean,25,23,50,0.021908142222222215,0.021807333333333345,0.017629977777777722,0.02548494444444446,0.015173777777777842,0.02600755555555556,1.0
mean,50,23,50,0.013856119999999994,0.014107777777777775,0.009556188888888886,0.0177925166666667,0.009017333333333433,0.018412444444444342,1.0
cls,25,23,50,-0.026012542222222247,-0.0263046666666667,-0.029928577777777774,-0.02282342222222216,-0.030192888888888825,-0.0224902222222223,0.0
sep,25,23,50,-0.010255528888888905,-0.010078222222222377,-0.015511088888888839,-0.006975844444444437,-0.016225333333333314,-0.006781333333333306,0.0
mean,10,24,50,-0.01715124444444445,-0.016924444444444464,-0.02215599999999996,-0.012688027777777638,-0.0223577777777777,-0.01245111111111119,0.0
mean,25,24,50,-0.02517194666666667,-0.025384000000000018,-0.030030977777777808,-0.019646222222222277,-0.03109733333333342,-0.0191484444444443,0.0
mean,50,24,50,-0.028141417777777757,-0.028779666666666648,-0.032978977777777724,-0.02301620000000007,-0.03354155555555549,-0.020815555555555476,0.0
cls,25,24,50,-0.07224225777777779,-0.07224777777777769,-0.07588434444444445,-0.06801278888888879,-0.0764946666666666,-0.06713600000000008,0.0
sep,25,24,50,-0.05885288000000001,-0.05925422222222221,-0.0630521111111111,-0.053757000000000034,-0.0636782222222223,-0.053379111111111044,0.0
mean,10,25,50,0.0010716666666666353,0.0009183333333332988,-0.004026055555555613,0.005487138888888843,-0.005143333333333278,0.006967777777777573,0.64
mean,25,25,50,-0.0016621511111111454,-0.0014651111111112503,-0.0073262333333332765,0.0038668888888886855,-0.008315111111111051,0.005195555555555509,0.26
mean,50,25,50,-0.005017782222222231,-0.005141444444444365,-0.010976594444444404,0.00024088333333329703,-0.011416222222222272,0.0020653333333333634,0.06
cls,25,25,50,-0.048458142222222236,-0.04870133333333332,-0.053116144444444444,-0.04434965555555565,-0.05334355555555548,-0.04158844444444443,0.0
sep,25,25,50,-0.036989262222222215,-0.03700599999999993,-0.04235516666666652,-0.03216890000000005,-0.04371955555555562,-0.03033511111111109,0.0
mean,10,26,50,0.034046400000000004,0.034278888888889025,0.027527361111111114,0.04061141666666661,0.024807777777777762,0.04193333333333338,1.0
mean,25,26,50,0.03796915555555559,0.038240888888888935,0.030694144444444564,0.044101222222222326,0.02826711111111102,0.04438444444444434,1.0
mean,50,26,50,0.038176795555555545,0.03866299999999989,0.03005888333333333,0.04437870000000005,0.028607999999999856,0.04593177777777768,1.0
cls,25,26,50,-0.00611485333333333,-0.005790666666666666,-0.012832999999999964,-0.0009466555555555312,-0.01354444444444447,-3.244444444439054e-05,0.0
sep,25,26,50,-0.0047245955555555415,-0.004594222222222055,-0.0117687666666667,0.0014668999999998763,-0.012468444444444393,0.002560888888888835,0.06
mean,10,27,50,-0.038657399999999995,-0.038045555555555666,-0.04537027777777773,-0.033751861111111156,-0.047672222222222005,-0.032831111111111255,0.0
mean,25,27,50,-0.044316968888888864,-0.04393088888888891,-0.04968395555555566,-0.03998227777777781,-0.05104088888888891,-0.03878266666666663,0.0
mean,50,27,50,-0.04676670666666667,-0.04641777777777789,-0.052090983333333354,-0.04175741666666661,-0.054048666666666634,-0.04162688888888899,0.0
cls,25,27,50,-0.08783470222222226,-0.08797511111111128,-0.09250156666666658,-0.0841766333333335,-0.09430444444444441,-0.08378933333333327,0.0
sep,25,27,50,-0.0762117777777778,-0.07602222222222221,-0.0820180111111111,-0.07212955555555575,-0.08208400000000016,-0.07087422222222228,0.0
mean,10,28,50,0.026547133333333344,0.02645166666666654,0.02102641666666658,0.031828888888888913,0.02000444444444449,0.03539333333333328,1.0
mean,25,28,50,0.023607137777777783,0.023810666666666702,0.01804369999999997,0.02869604444444445,0.016775111111111074,0.02961377777777785,1.0
mean,50,28,50,0.017518737777777772,0.017818111111111146,0.011643316666666634,0.022531466666666826,0.011106888888889,0.02292666666666665,1.0
cls,25,28,50,-0.03250896000000002,-0.03286311111111112,-0.03733683333333336,-0.02826991111111114,-0.03778933333333334,-0.02787688888888895,0.0
sep,25,28,50,-0.010145422222222217,-0.01016200000000006,-0.015085377777777704,-0.005149733333333378,-0.01571244444444453,-0.005051555555555698,0.0
mean,10,29,50,0.0012991111111111309,0.0013277777777778166,-0.006402083333333375,0.006718222222222339,-0.006683333333333374,0.008402222222222089,0.68
mean,25,29,50,-0.007259573333333333,-0.007181111111111138,-0.014153733333333326,-0.0017776222222222048,-0.014742222222222323,-0.0013924444444444184,0.0
mean,50,29,50,-0.012922586666666654,-0.012893999999999961,-0.01951938888888882,-0.006371872222222149,-0.020141777777777592,-0.005946444444444587,0.0
