omitted_field,model_a,model_b,n,mean,median,p025,p975,min,max,largest_absolute_change
18,minilm,pubmedbert,51,-0.0022973447915572223,-0.0023024002723562864,-0.004257027663011753,6.791829338770317e-05,-0.004435967169120647,0.0003282099175868636,0.004435967169120647
18,minilm,biobert,51,-0.003193408261984654,-0.0031833186277813175,-0.00480469627585986,-0.0008983248612486616,-0.0048555696438379314,-0.0005558048748754985,0.0048555696438379314
18,minilm,simcse,51,-0.0037936935472833644,-0.0037854492845011967,-0.00528123704728109,-0.0022556176828357755,-0.005341882739730797,-0.0014247799182012244,0.005341882739730797
18,pubmedbert,biobert,51,-0.0002386502916097977,-0.0002472248161481394,-0.0004285321491797611,-2.2164005967661993e-05,-0.0004428793454039903,-1.9770995680290504e-05,0.0004428793454039903
18,pubmedbert,simcse,51,-0.0015327127017832648,-0.0015658067677444265,-0.0021374059545999635,-0.0006388050869767514,-0.002189734534028487,-7.933020486028397e-05,0.002189734534028487
18,biobert,simcse,51,-0.0015702631364937943,-0.0015917453871034937,-0.002138352685617212,-0.0008459926553124331,-0.0024286623288407583,-0.0006959472834032754,0.0024286623288407583
19,specter,specter2,51,0.0020394567119114073,0.0019396594194245331,0.0014094203668041927,0.0029528635018743477,0.0011956770881611511,0.003061989735133719,0.003061989735133719
19,specter,scincl,51,0.0003613664047729333,0.0003439852924164155,-0.00023916237202062374,0.0010977890824370728,-0.0003235428485831582,0.0012340430350057385,0.0012340430350057385
19,specter,scibert,51,0.005106550474580597,0.0050626265259808845,0.003884017783619853,0.006376597585246918,0.0037835614026070497,0.006704897811526056,0.006704897811526056
19,specter,bert,51,0.010399622677655157,0.010268799732671918,0.008861697839732924,0.012795510881724953,0.00853563438887972,0.013223775973112861,0.013223775973112861
19,specter,mpnet,51,0.001837804455829301,0.0018916902474086505,0.0007611582795647165,0.0028992391268214124,0.000634173278935779,0.0029614680319816067,0.0029614680319816067
19,specter,minilm,51,0.0010770102233556927,0.0011210518231316025,-3.904787563532852e-05,0.002085955467890116,-0.00010913263241407734,0.0023473763365308153,0.0023473763365308153
19,specter,pubmedbert,51,0.0055489348963048985,0.0055006614146234645,0.003973721108916806,0.007102548646759604,0.0038282210432232233,0.007656983973943987,0.007656983973943987
19,specter,biobert,51,0.0053263557347276586,0.005267419071720347,0.003932845440299121,0.00717092255428875,0.003595587266170819,0.007352413278147951,0.007352413278147951
19,specter,simcse,51,0.00843406662093484,0.00821984930823505,0.006861327992957772,0.0101900403545854,0.006678115468236712,0.01080761849076095,0.01080761849076095
19,specter2,scincl,51,0.001554797890448103,0.0015112590605325105,0.0010363955929379998,0.0023992682754553907,0.0009171355530888103,0.002457919190919533,0.002457919190919533
19,specter2,scibert,51,0.0010999560579871032,0.001070318266595982,0.00037080056810445683,0.0018538146258263721,0.0002541280803038948,0.001994508795832517,0.001994508795832517
19,specter2,bert,51,0.003907776904195552,0.0038955348258865596,0.0031845424789359034,0.004731957886652621,0.0028829022374504687,0.005061024393167246,0.005061024393167246
19,specter2,mpnet,51,0.0007862492270593139,0.0008012591214280329,0.00033661947631824507,0.0012188808643621152,0.0003299591929917245,0.0014665063276841916,0.0014665063276841916
19,specter2,minilm,51,0.00047401200585426336,0.0005102039517540513,-8.009892096708104e-05,0.0009921373170689585,-0.0003484182308512995,0.001229196280499778,0.001229196280499778
19,specter2,pubmedbert,51,0.0010979202536238741,0.0010113657202320825,0.00027088953162321405,0.0020986661242916316,2.1463340138527798e-05,0.002691094247726844,0.002691094247726844
19,specter2,biobert,51,0.0010416468220597215,0.001006123111107593,0.0003097600271905754,0.0018221653172526553,0.00020100659322652703,0.001904104277111851,0.001904104277111851
19,specter2,simcse,51,0.0025129754645652467,0.002500339225449677,0.0019100335780975475,0.0033241984531258706,0.0017898143994763416,0.003508915953028713,0.003508915953028713
19,scincl,scibert,51,0.0052912239480314,0.005388681230062198,0.003943066587475702,0.006643621286071211,0.0036501943397418968,0.006710398128026429,0.006710398128026429
19,scincl,bert,51,0.00983900900608154,0.00971199675630241,0.008575582372114005,0.011333123939748418,0.007749654565574082,0.011855813594612186,0.011855813594612186
19,scincl,mpnet,51,0.0012567519452210173,0.001334479619022999,0.00013222653082697877,0.0021096582740393333,-5.357088539237331e-05,0.0023450621634578672,0.0023450621634578672
19,scincl,minilm,51,0.0005664400247528754,0.000568608544681215,-0.00039579015529087047,0.0013450879799370985,-0.0008630353290789428,0.002055994892021018,0.002055994892021018
19,scincl,pubmedbert,51,0.006524017565035307,0.006639436536450938,0.00529744384309061,0.007909260722321898,0.004312927312163262,0.008330072605664318,0.008330072605664318
19,scincl,biobert,51,0.005918668065480375,0.005863044853000932,0.004389908278280286,0.007149425270378623,0.0036942197253084785,0.007719051295373092,0.007719051295373092
19,scincl,simcse,51,0.006800961053228252,0.006845491766357514,0.0056097093512051666,0.0077821853784557915,0.0051636540925456,0.00782718497860102,0.00782718497860102
19,scibert,bert,51,0.0015785489292126065,0.001603871959731329,0.0012152639904963736,0.0019829823228520727,0.0011075131758877532,0.002174065901369149,0.002174065901369149
19,scibert,mpnet,51,0.002488857953051788,0.0024763015077587935,0.0015687544243450924,0.0034465678028339497,0.0014902078552210263,0.003505510505411813,0.003505510505411813
19,scibert,minilm,51,0.0026023781508802057,0.002609189051281713,0.001776280369366473,0.003586751029162949,0.0017634203154146544,0.0036451259866834285,0.0036451259866834285
19,scibert,pubmedbert,51,0.0012507859581337318,0.0011196123095708055,0.0006450904196011464,0.0019482926096519304,0.0003940000342977923,0.0023405724553949847,0.0023405724553949847
19,scibert,biobert,51,0.00027459057382624624,0.0002567266513994193,-0.00027335577245463094,0.0008080552486735282,-0.0003419601393946925,0.0009009387740476216,0.0009009387740476216
19,scibert,simcse,51,0.001121563341072648,0.0011225049391160313,0.000674623508453237,0.0016220353114497488,0.0006167181228119434,0.0019864623810224025,0.0019864623810224025
19,bert,mpnet,51,0.006141367791699736,0.006108388488358374,0.004784605519660173,0.00758021738815437,0.004701369010304268,0.007885837318461597,0.007885837318461597
19,bert,minilm,51,0.006892709391587497,0.006681986614868629,0.005316499526946461,0.0087749707429651,0.005130443096675208,0.009042134265251245,0.009042134265251245
19,bert,pubmedbert,51,0.0019347951501067888,0.0019151680750798539,0.0009616615830565778,0.0030114812948721925,0.0008985910388019658,0.0032802307315580315,0.0032802307315580315
19,bert,biobert,51,0.001212478662737544,0.0012081531922161215,0.0007515703206374957,0.0018582641915903808,0.0005374496716933352,0.001993601031209047,0.001993601031209047
19,bert,simcse,51,0.0007495824932294891,0.0007295680592351861,0.00040384855251876517,0.0011924055129093614,0.0003314464429832187,0.0014249258128390396,0.0014249258128390396
19,mpnet,minilm,51,-0.00011637164080175008,-9.975492243563533e-05,-0.0004582076070508423,0.0001374068167762088,-0.0005181227824638812,0.00015631073142563512,0.0005181227824638812
19,mpnet,pubmedbert,51,0.0018322722335899293,0.0018584355171038514,0.0006562930968991021,0.0030296988000198533,0.0005187129391629464,0.0031641829509138075,0.0031641829509138075
