representation,metric,cutoff,field_a,field_b,model,direction,smallest_relative_difference,largest_relative_difference
global_centered,angle_p50,0.0,21,22,specter,1,0.0221635333083042,0.03594050772830873
global_centered,angle_p50,0.0,21,22,specter2,1,0.013445667334510716,0.02397419805196892
global_centered,angle_p50,0.0,21,22,scincl,1,0.028019048671295975,0.040650792651847026
global_centered,angle_p50,0.0,21,22,scibert,-1,-0.013486514698017356,-0.005357730487947064
global_centered,angle_p50,0.0,21,22,bert,-1,-0.04554742323851002,-0.025316388635470623
global_centered,angle_p50,0.0,21,22,mpnet,1,0.01908146252176338,0.0268423081004346
global_centered,angle_p50,0.0,21,22,minilm,1,0.019223949294046368,0.025949394678585067
global_centered,angle_p50,0.0,21,22,pubmedbert,-1,-0.03827313946986117,-0.025593636433395493
global_centered,angle_p50,0.0,21,22,biobert,-1,-0.027858144566215742,-0.0186081065907816
global_centered,angle_p50,0.0,21,22,simcse,0,-0.012834622827562233,0.0020417249741640463
global_centered,angle_p50,0.0,21,23,specter,1,0.0023095584553548773,0.015378624576925261
global_centered,angle_p50,0.0,21,23,specter2,1,0.037808438451638206,0.046123719021962425
global_centered,angle_p50,0.0,21,23,scincl,1,0.016721079456281956,0.030827463961457215
global_centered,angle_p50,0.0,21,23,scibert,1,0.019217065614682016,0.024954953851487424
global_centered,angle_p50,0.0,21,23,bert,1,0.039048067797531914,0.05012507244376953
global_centered,angle_p50,0.0,21,23,mpnet,1,0.01221883532369967,0.021448583560210566
global_centered,angle_p50,0.0,21,23,minilm,1,0.00729376628271111,0.014456441231374099
global_centered,angle_p50,0.0,21,23,pubmedbert,1,0.018857984912913694,0.02543321913472432
global_centered,angle_p50,0.0,21,23,biobert,1,0.017972080934924063,0.02455378834816008
global_centered,angle_p50,0.0,21,23,simcse,1,0.03195597032136148,0.040411243889323926
global_centered,angle_p50,0.0,21,24,specter,-1,-0.037425485421484675,-0.02155952455487764
global_centered,angle_p50,0.0,21,24,specter2,-1,-0.02732668036808035,-0.015741979908971856
global_centered,angle_p50,0.0,21,24,scincl,-1,-0.057648116683480265,-0.04271032634283377
