scope,k,field_id,n,mean,median,p025,p975,min,max
2048,10,32,90,0.09666666666666666,0.10000000000000009,-0.8775000000000007,0.9000000000000008,-1.200000000000001,1.3999999999999986
2048,25,32,90,0.1408888888888889,0.16000000000000042,-0.5600000000000043,1.022000000000001,-1.16,1.5199999999999991
2048,50,32,90,0.21533333333333304,0.20000000000000018,-0.39100000000000007,0.9419999999999998,-0.7199999999999984,1.379999999999998
all,10,33,225,0.7428395348372682,0.635809586559051,0.07751102064815663,1.915388191538819,0.047593459737471644,2.3802882380288217
all,25,33,225,0.9400750970681349,0.7728545544391369,0.10697325668583058,2.3918177591817784,0.03930298610577698,2.841469084146908
all,50,33,225,1.1253307866638733,0.9158293526601857,0.1204053212535483,2.7620641562064145,0.06448146157979617,3.7219897721989774
1024,10,33,225,0.31377777777777777,0.30000000000000027,-1.4400000000000013,2.34,-2.2999999999999963,3.200000000000003
1024,25,33,225,0.4032000000000001,0.5199999999999982,-1.344000000000003,1.6480000000000012,-2.240000000000003,3.079999999999999
1024,50,33,225,0.5275555555555558,0.6199999999999983,-1.18,1.9760000000000006,-1.7799999999999927,2.400000000000002
2048,10,33,225,0.176888888888889,0.10000000000000009,-1.539999999999997,2.0400000000000023,-2.8000000000000025,2.6000000000000023
2048,25,33,225,0.17440000000000017,0.23999999999999855,-1.487999999999996,1.6960000000000022,-1.9600000000000006,2.0399999999999974
2048,50,33,225,0.3420444444444445,0.40000000000000036,-1.332000000000002,1.687999999999999,-1.6599999999999948,2.0000000000000018
all,10,34,225,0.3221802026087207,0.2773575390821986,0.0,0.8318496538081124,-0.06965174129353047,1.0049751243781073
all,25,34,225,0.4246911163766829,0.35379410343160944,0.035630949331590944,1.1029469861375598,0.013213780084947446,1.2067260138476754
all,50,34,225,0.5231462380022939,0.46785361028683914,0.04643699858423501,1.344355981062915,0.02076451156205472,1.5776458951533123
1024,10,34,225,-0.025777777777777747,0.0,-1.439999999999999,1.1399999999999995,-1.9999999999999962,1.8000000000000016
1024,25,34,225,0.010844444444444509,0.040000000000001146,-1.0000000000000009,0.952,-1.2800000000000034,1.319999999999999
1024,50,34,225,0.1812444444444443,0.15999999999999903,-0.5959999999999976,1.047999999999998,-0.8000000000000007,1.36
2048,10,34,90,-0.006666666666666858,0.0,-0.8000000000000007,0.7774999999999986,-0.9000000000000008,1.0999999999999899
2048,25,34,90,0.030222222222222626,0.040000000000001146,-0.40000000000000036,0.4929999999999977,-0.48000000000000265,0.7199999999999984
2048,50,34,90,0.10511111111111124,0.09000000000000119,-0.27550000000000296,0.5955000000000008,-0.40000000000000036,0.8000000000000007
