scope,k,model_a,model_b,n,mean,median,p025,p975,min,max
1024,10,specter,specter2,130,0.3884615384615387,0.20000000000000018,-1.0550000000000008,2.3775000000000013,-2.300000000000002,3.0000000000000027
1024,25,specter,specter2,130,0.5276923076923077,0.41999999999999815,-0.5199999999999982,2.3510000000000004,-1.0000000000000009,2.9999999999999973
1024,50,specter,specter2,130,0.4867692307692307,0.36999999999999533,-0.3754999999999987,1.5329999999999997,-0.7399999999999962,2.7600000000000016
1024,10,specter,scincl,130,0.24076923076923085,0.1999999999999974,-1.455,2.0774999999999966,-1.8000000000000016,4.999999999999999
1024,25,specter,scincl,130,0.2901538461538464,0.16000000000000458,-0.7910000000000017,2.102,-1.6000000000000014,2.52
1024,50,specter,scincl,130,0.31384615384615355,0.18000000000000238,-0.5600000000000024,1.773000000000001,-0.8599999999999941,2.6000000000000023
1024,10,specter,scibert,130,0.2853846153846151,0.20000000000000018,-1.1550000000000005,1.6000000000000014,-1.8000000000000016,2.8
1024,25,specter,scibert,130,0.4193846153846154,0.3599999999999992,-0.4400000000000015,1.8039999999999974,-1.040000000000002,2.0800000000000014
1024,50,specter,scibert,130,0.3947692307692309,0.379999999999997,-0.3664999999999972,1.3664999999999976,-0.6199999999999983,1.7400000000000027
1024,10,specter,bert,130,0.2815384615384617,0.30000000000000027,-1.3000000000000012,1.6549999999999971,-1.4000000000000012,2.4999999999999996
1024,25,specter,bert,130,0.3944615384615385,0.32000000000000084,-0.39100000000000007,1.5509999999999997,-0.8399999999999963,2.72
1024,50,specter,bert,130,0.5015384615384613,0.43999999999999595,-0.2865000000000005,1.735,-0.6599999999999995,2.1199999999999997
1024,10,specter,mpnet,130,0.359230769230769,0.30000000000000027,-1.077500000000001,2.0000000000000018,-1.699999999999996,2.6000000000000023
1024,25,specter,mpnet,130,0.35600000000000026,0.24000000000000132,-0.6400000000000047,2.1859999999999964,-1.0000000000000009,3.9600000000000026
1024,50,specter,mpnet,130,0.20969230769230768,0.10999999999999899,-0.5465000000000039,1.3620000000000023,-0.759999999999994,1.7800000000000038
1024,10,specter,minilm,130,0.2076923076923077,0.10000000000000009,-1.255000000000001,2.1550000000000002,-2.200000000000002,4.100000000000003
1024,25,specter,minilm,130,0.2692307692307691,0.20000000000000018,-0.9240000000000043,1.342,-1.2799999999999978,3.440000000000004
1024,50,specter,minilm,130,0.29984615384615365,0.2599999999999991,-0.47100000000000364,1.4310000000000018,-0.880000000000003,1.9199999999999995
1024,10,specter,pubmedbert,130,0.31923076923076915,0.30000000000000027,-0.8000000000000007,1.8324999999999991,-1.3999999999999986,2.2999999999999994
1024,25,specter,pubmedbert,130,0.4009230769230766,0.2800000000000011,-0.3599999999999992,1.4529999999999974,-0.5599999999999994,2.160000000000001
1024,50,specter,pubmedbert,130,0.5118461538461542,0.520000000000001,-0.2619999999999976,1.4554999999999998,-0.4599999999999993,1.8600000000000005
1024,10,specter,biobert,130,0.3353846153846154,0.20000000000000018,-0.9550000000000008,1.954999999999998,-1.8000000000000016,3.3000000000000003
1024,25,specter,biobert,130,0.42338461538461536,0.3599999999999992,-0.4309999999999991,1.563999999999997,-0.7999999999999979,1.9600000000000006
1024,50,specter,biobert,130,0.5666153846153846,0.5000000000000004,-0.17550000000000163,1.5974999999999997,-0.4599999999999993,1.980000000000004
1024,10,specter,simcse,130,0.14923076923076936,0.10000000000000009,-0.9774999999999987,1.4774999999999985,-1.2999999999999985,2.200000000000002
1024,25,specter,simcse,130,0.2310769230769233,0.23999999999999994,-0.7599999999999996,1.0400000000000014,-1.16,2.2800000000000016
1024,50,specter,simcse,130,0.26538461538461516,0.2599999999999991,-0.4554999999999998,1.1199999999999988,-0.6200000000000039,1.4200000000000046
1024,10,specter2,scincl,130,0.4761538461538463,0.34999999999999754,-1.077500000000001,2.3000000000000007,-1.699999999999996,3.200000000000003
1024,25,specter2,scincl,130,0.5138461538461537,0.4399999999999987,-0.5510000000000016,2.1279999999999943,-1.1199999999999988,2.6400000000000032
