model,field_id,field,period_start,cohort,rows,truncated,truncated_percent
bert,35,Dentistry,2010,extra,1724,104,6.0324825986078885
bert,35,Dentistry,2015,base,544,50,9.191176470588236
bert,35,Dentistry,2015,extra,1621,108,6.662553979025293
bert,35,Dentistry,2020,base,834,63,7.553956834532374
bert,35,Dentistry,2020,extra,1331,131,9.842223891810669
bert,36,Health Professions,2000,base,589,48,8.149405772495756
bert,36,Health Professions,2000,extra,1576,124,7.868020304568528
bert,36,Health Professions,2005,base,933,57,6.109324758842444
bert,36,Health Professions,2005,extra,1232,95,7.711038961038961
bert,36,Health Professions,2010,base,1504,122,8.111702127659575
bert,36,Health Professions,2010,extra,661,51,7.7155824508320725
bert,36,Health Professions,2015,base,1877,170,9.057005860415556
bert,36,Health Professions,2015,extra,288,19,6.597222222222222
bert,36,Health Professions,2020,base,2833,270,9.530533003882809
mpnet,11,Agricultural and Biological Sciences,2000,base,1663,364,21.888153938665063
mpnet,11,Agricultural and Biological Sciences,2000,extra,503,99,19.681908548707753
mpnet,11,Agricultural and Biological Sciences,2005,base,2528,570,22.54746835443038
mpnet,11,Agricultural and Biological Sciences,2010,base,3940,934,23.705583756345177
mpnet,11,Agricultural and Biological Sciences,2015,base,4298,1282,29.827826896230803
mpnet,11,Agricultural and Biological Sciences,2020,base,6491,2165,33.3538745955939
mpnet,12,Arts and Humanities,2000,base,847,125,14.757969303423849
mpnet,12,Arts and Humanities,2000,extra,1319,176,13.3434420015163
mpnet,12,Arts and Humanities,2005,base,1551,247,15.925209542230819
mpnet,12,Arts and Humanities,2005,extra,615,108,17.5609756097561
mpnet,12,Arts and Humanities,2010,base,2186,336,15.370539798719122
mpnet,12,Arts and Humanities,2015,base,2732,427,15.629575402635432
mpnet,12,Arts and Humanities,2020,base,3380,668,19.763313609467456
mpnet,13,"Biochemistry, Genetics and Molecular Biology",2000,base,2739,821,29.974443227455275
mpnet,13,"Biochemistry, Genetics and Molecular Biology",2005,base,4071,1137,27.92925571112749
mpnet,13,"Biochemistry, Genetics and Molecular Biology",2010,base,5251,1599,30.451342601409255
mpnet,13,"Biochemistry, Genetics and Molecular Biology",2015,base,5596,1892,33.80986418870622
mpnet,13,"Biochemistry, Genetics and Molecular Biology",2020,base,6840,2451,35.833333333333336
mpnet,14,"Business, Management and Accounting",2000,base,762,45,5.905511811023622
mpnet,14,"Business, Management and Accounting",2000,extra,1404,68,4.843304843304844
mpnet,14,"Business, Management and Accounting",2005,base,1489,81,5.439892545332438
mpnet,14,"Business, Management and Accounting",2005,extra,677,33,4.874446085672083
mpnet,14,"Business, Management and Accounting",2010,base,2186,146,6.678865507776761
mpnet,14,"Business, Management and Accounting",2015,base,2660,253,9.511278195488721
mpnet,14,"Business, Management and Accounting",2020,base,4040,408,10.099009900990099
mpnet,15,Chemical Engineering,2000,base,161,19,11.801242236024844
mpnet,15,Chemical Engineering,2000,extra,2005,201,10.024937655860349
mpnet,15,Chemical Engineering,2005,base,214,19,8.878504672897197
mpnet,15,Chemical Engineering,2005,extra,1952,209,10.706967213114755
mpnet,15,Chemical Engineering,2010,base,246,28,11.382113821138212
mpnet,15,Chemical Engineering,2010,extra,1920,233,12.135416666666666
mpnet,15,Chemical Engineering,2015,base,255,30,11.764705882352942
mpnet,15,Chemical Engineering,2015,extra,1911,245,12.820512820512821
mpnet,15,Chemical Engineering,2020,base,319,49,15.360501567398119
mpnet,15,Chemical Engineering,2020,extra,1847,350,18.949648077964266
mpnet,16,Chemistry,2000,base,931,135,14.500537056928035
mpnet,16,Chemistry,2000,extra,1235,194,15.708502024291498
mpnet,16,Chemistry,2005,base,1358,212,15.61119293078056
mpnet,16,Chemistry,2005,extra,808,115,14.232673267326733
mpnet,16,Chemistry,2010,base,1686,247,14.65005931198102
mpnet,16,Chemistry,2010,extra,480,75,15.625
mpnet,16,Chemistry,2015,base,1555,252,16.205787781350484
mpnet,16,Chemistry,2015,extra,611,99,16.202945990180034
mpnet,16,Chemistry,2020,base,1760,313,17.78409090909091
mpnet,16,Chemistry,2020,extra,406,91,22.413793103448278
mpnet,17,Computer Science,2000,base,3310,90,2.719033232628399
mpnet,17,Computer Science,2005,base,5594,165,2.9495888451912764
mpnet,17,Computer Science,2010,base,7094,248,3.495912038342261
mpnet,17,Computer Science,2015,base,6858,391,5.701370662000583
mpnet,17,Computer Science,2020,base,9972,762,7.641395908543923
mpnet,18,Decision Sciences,2000,base,290,16,5.517241379310345
mpnet,18,Decision Sciences,2000,extra,1876,110,5.863539445628998
mpnet,18,Decision Sciences,2005,base,567,44,7.760141093474426
mpnet,18,Decision Sciences,2005,extra,1599,94,5.8786741713570985
mpnet,18,Decision Sciences,2010,base,883,59,6.681766704416761
mpnet,18,Decision Sciences,2010,extra,1283,90,7.014809041309431
mpnet,18,Decision Sciences,2015,base,921,69,7.49185667752443
mpnet,18,Decision Sciences,2015,extra,1245,102,8.19277108433735
mpnet,18,Decision Sciences,2020,base,1156,109,9.429065743944637
mpnet,18,Decision Sciences,2020,extra,1010,94,9.306930693069306
mpnet,19,Earth and Planetary Sciences,2000,base,851,165,19.38895417156287
mpnet,19,Earth and Planetary Sciences,2000,extra,1315,269,20.456273764258555
mpnet,19,Earth and Planetary Sciences,2005,base,1203,211,17.539484621778886
mpnet,19,Earth and Planetary Sciences,2005,extra,963,186,19.314641744548286
mpnet,19,Earth and Planetary Sciences,2010,base,1604,310,19.326683291770575
mpnet,19,Earth and Planetary Sciences,2010,extra,562,107,19.03914590747331
mpnet,19,Earth and Planetary Sciences,2015,base,1716,400,23.31002331002331
mpnet,19,Earth and Planetary Sciences,2015,extra,450,113,25.11111111111111
mpnet,19,Earth and Planetary Sciences,2020,base,1882,506,26.886291179596174
mpnet,19,Earth and Planetary Sciences,2020,extra,284,72,25.35211267605634
mpnet,20,"Economics, Econometrics and Finance",2000,base,773,52,6.727037516170763
mpnet,20,"Economics, Econometrics and Finance",2000,extra,1393,102,7.322325915290739
mpnet,20,"Economics, Econometrics and Finance",2005,base,1236,83,6.715210355987055
mpnet,20,"Economics, Econometrics and Finance",2005,extra,930,64,6.881720430107527
mpnet,20,"Economics, Econometrics and Finance",2010,base,1849,178,9.626825310978907
mpnet,20,"Economics, Econometrics and Finance",2010,extra,317,22,6.94006309148265
mpnet,20,"Economics, Econometrics and Finance",2015,base,1917,211,11.006781429316641
mpnet,20,"Economics, Econometrics and Finance",2015,extra,249,25,10.040160642570282
mpnet,20,"Economics, Econometrics and Finance",2020,base,2845,440,15.46572934973638
mpnet,21,Energy,2000,base,116,13,11.206896551724139
mpnet,21,Energy,2000,extra,2050,197,9.609756097560975
mpnet,21,Energy,2005,base,240,14,5.833333333333333
mpnet,21,Energy,2005,extra,1926,140,7.268951194184839
mpnet,21,Energy,2010,base,591,52,8.798646362098138
mpnet,21,Energy,2010,extra,1575,143,9.079365079365079
mpnet,21,Energy,2015,base,680,92,13.529411764705882
mpnet,21,Energy,2015,extra,1486,158,10.63257065948856
mpnet,21,Energy,2020,base,990,138,13.93939393939394
mpnet,21,Energy,2020,extra,1176,193,16.41156462585034
mpnet,22,Engineering,2000,base,6990,304,4.349070100143061
mpnet,22,Engineering,2005,base,11310,524,4.633068081343944
mpnet,22,Engineering,2010,base,15203,874,5.748865355521937
mpnet,22,Engineering,2015,base,14738,1134,7.6943954403582575
mpnet,22,Engineering,2020,base,18907,1975,10.445866610250173
mpnet,23,Environmental Science,2000,base,1751,292,16.676185037121645
mpnet,23,Environmental Science,2000,extra,415,81,19.518072289156628
mpnet,23,Environmental Science,2005,base,2876,481,16.72461752433936
mpnet,23,Environmental Science,2010,base,4005,711,17.752808988764045
mpnet,23,Environmental Science,2015,base,4018,945,23.519163763066203
mpnet,23,Environmental Science,2020,base,5919,1565,26.44027707383004
mpnet,24,Immunology and Microbiology,2000,base,534,187,35.0187265917603
mpnet,24,Immunology and Microbiology,2000,extra,1632,587,35.96813725490196
mpnet,24,Immunology and Microbiology,2005,base,764,274,35.86387434554974
mpnet,24,Immunology and Microbiology,2005,extra,1402,483,34.450784593437945
mpnet,24,Immunology and Microbiology,2010,base,924,352,38.095238095238095
mpnet,24,Immunology and Microbiology,2010,extra,1242,481,38.727858293075684
mpnet,24,Immunology and Microbiology,2015,base,1028,447,43.48249027237354
mpnet,24,Immunology and Microbiology,2015,extra,1138,451,39.63093145869947
mpnet,24,Immunology and Microbiology,2020,base,1206,566,46.93200663349917
mpnet,24,Immunology and Microbiology,2020,extra,960,446,46.458333333333336
mpnet,25,Materials Science,2000,base,1292,107,8.281733746130032
mpnet,25,Materials Science,2000,extra,874,72,8.237986270022883
mpnet,25,Materials Science,2005,base,2142,177,8.263305322128852
mpnet,25,Materials Science,2005,extra,24,4,16.666666666666668
mpnet,25,Materials Science,2010,base,2962,253,8.541525995948684
mpnet,25,Materials Science,2015,base,3152,385,12.214467005076141
mpnet,25,Materials Science,2020,base,3787,629,16.60945339318722
mpnet,26,Mathematics,2000,base,386,25,6.476683937823834
mpnet,26,Mathematics,2000,extra,1780,86,4.831460674157303
mpnet,26,Mathematics,2005,base,639,27,4.225352112676056
mpnet,26,Mathematics,2005,extra,1527,58,3.7982973149967254
mpnet,26,Mathematics,2010,base,893,42,4.703247480403135
mpnet,26,Mathematics,2010,extra,1273,61,4.791830322073841
mpnet,26,Mathematics,2015,base,1108,62,5.595667870036101
mpnet,26,Mathematics,2015,extra,1058,54,5.103969754253308
mpnet,26,Mathematics,2020,base,1555,116,7.459807073954984
mpnet,26,Mathematics,2020,extra,611,61,9.983633387888707
mpnet,27,Medicine,2000,base,7128,2304,32.323232323232325
mpnet,27,Medicine,2005,base,10946,3578,32.68773981363055
mpnet,27,Medicine,2010,base,15771,5766,36.56077610804641
mpnet,27,Medicine,2015,base,18629,8052,43.222931987761015
mpnet,27,Medicine,2020,base,26195,12151,46.38671502195076
mpnet,28,Neuroscience,2000,base,718,196,27.298050139275766
mpnet,28,Neuroscience,2000,extra,1448,403,27.831491712707184
mpnet,28,Neuroscience,2005,base,1005,287,28.557213930348258
mpnet,28,Neuroscience,2005,extra,1161,309,26.614987080103358
mpnet,28,Neuroscience,2010,base,1408,402,28.551136363636363
mpnet,28,Neuroscience,2010,extra,758,208,27.440633245382585
mpnet,28,Neuroscience,2015,base,1640,475,28.963414634146343
mpnet,28,Neuroscience,2015,extra,526,148,28.136882129277566
mpnet,28,Neuroscience,2020,base,2053,602,29.32294203604481
mpnet,28,Neuroscience,2020,extra,113,33,29.20353982300885
mpnet,29,Nursing,2000,base,182,49,26.923076923076923
mpnet,29,Nursing,2000,extra,1984,569,28.679435483870968
mpnet,29,Nursing,2005,base,285,84,29.473684210526315
mpnet,29,Nursing,2005,extra,1881,502,26.687931951089844
mpnet,29,Nursing,2010,base,453,157,34.65783664459161
mpnet,29,Nursing,2010,extra,1713,474,27.6707530647986
mpnet,29,Nursing,2015,base,497,185,37.223340040241446
mpnet,29,Nursing,2015,extra,1669,643,38.52606351108448
mpnet,29,Nursing,2020,base,660,264,40.0
mpnet,29,Nursing,2020,extra,1506,579,38.44621513944223
